               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.036199,            0.025135,                   0,             0.94761,             0.96377,             0.96983,             0.44686,            0.041372,            0.022297,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.033648,             0.02228,                   0,              0.9472,             0.96377,             0.96969,             0.50384,            0.036579,             0.02167,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.033495,            0.023793,                   0,             0.94749,             0.96377,             0.96931,              0.4866,            0.038281,            0.022105,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.034018,            0.022594,                   0,             0.95508,             0.97101,             0.97603,             0.52412,            0.036174,            0.021785,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.03312,            0.023403,                   0,             0.95644,             0.97101,             0.97598,             0.48892,            0.037742,            0.021832,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.033677,            0.021434,                   0,             0.94895,             0.96377,             0.96984,             0.50114,            0.038054,             0.02173,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.037733,            0.025305,                   0,             0.94806,             0.96377,             0.96931,             0.49332,            0.038059,            0.021722,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.033157,             0.02643,                   0,             0.94883,             0.96377,             0.96921,             0.51479,            0.036151,            0.021644,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.032329,            0.020336,                   0,             0.95556,             0.97101,             0.97608,             0.50212,            0.037789,            0.021628,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.032042,            0.022199,                   0,             0.95392,             0.97101,             0.97606,             0.50757,            0.037501,            0.021527,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.032958,             0.02265,                   0,             0.95896,             0.97101,             0.97597,              0.5178,            0.035786,            0.021504,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.032382,            0.020746,                   0,             0.95698,             0.97101,              0.9761,             0.51402,            0.036283,            0.021506,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.031022,            0.021725,                   0,             0.95863,             0.97101,             0.97599,             0.49584,            0.037526,             0.02163,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.032247,            0.021845,                   0,             0.95698,             0.97101,               0.976,             0.49958,            0.037508,            0.021502,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.031571,            0.019731,                   0,             0.95548,             0.97101,             0.97604,             0.50989,            0.036908,            0.021405,                   0,            0.000298,            0.000298,            0.000298
